Timestamp,Day,Participant,Location Coordinates,HRV
2023-01-20 14:40:00,Friday,4,"52.300764854, 10.560337432",
2023-01-20 14:40:10,Friday,4,"52.300193097, 10.560405036",
2023-01-20 14:40:20,Friday,4,"52.299572297, 10.560458426",
2023-01-20 14:40:30,Friday,4,"52.298856131, 10.56051907",
2023-01-20 14:40:40,Friday,4,"52.298169872, 10.560679137",
2023-01-20 14:40:50,Friday,4,"52.297610253, 10.560870574",
2023-01-20 14:41:00,Friday,4,"52.297142664, 10.560819204",
2023-01-20 14:41:10,Friday,4,"52.296859664, 10.560899261",
2023-01-20 14:41:20,Friday,4,"52.296990108, 10.560740726",
2023-01-20 14:41:30,Friday,4,"52.296938901, 10.560199617",
2023-01-20 14:41:40,Friday,4,"52.296433048, 10.56016963",
2023-01-20 14:41:50,Friday,4,"52.295960168, 10.560208704",
2023-01-20 14:42:00,Friday,4,"52.295503008, 10.56023309",
2023-01-20 14:42:10,Friday,4,"52.295021289, 10.560244947",
2023-01-20 14:42:20,Friday,4,"52.294493555, 10.560307578",
2023-01-20 14:42:30,Friday,4,"52.29394573, 10.560478279",
